Minnesota,24,H,Southern California,17
Mississippi,27,A,South Carolina,3
Navy,34,A,Air Force,7
Nebraska,14,H,Rutgers,7
Northern Illinois,34,H,Massachusetts,20
Ohio State,35,H,Iowa,7
Oregon State,39,H,Colorado State,31
Penn State,27,H,UCLA,11
Pittsburgh,34,A,North Carolina,24
San Diego State,27,H,Hawaii,24
San Jose State,35,H,Nevada,31
Southern Methodist,34,A,Louisville,27
Texas A&M,41,H,Missouri,10
Texas Tech,28,A,Arizona,22
Toledo,30,H,Miami OH,20
Tulane,71,A,Alabama-Birmingham,20
Vanderbilt,40,H,Alabama,35
Virginia,24,H,Boston College,14
Virginia Tech,31,A,Stanford,7
Wake Forest,34,A,North Carolina State,30
Washington,27,H,Michigan,17
West Virginia,38,A,Oklahoma State,14
Western Michigan,45,A,Ball State,42
Wisconsin,52,H,Purdue,6
Liberty,31,H,Florida International,24
Jacksonville State,54,H,New Mexico State,13
James Madison,39,H,Coastal Carolina,7
Louisiana Tech,48,H,Middle Tennessee State,21
Western Kentucky,44,H,Texas-El Paso,17
Arizona State,27,H,Utah,19
Nevada-Las Vegas,50,A,Utah State,34
Northwestern,37,A,Maryland,10
Alabama,27,H,South Carolina,25
Army,44,H,Alabama-Birmingham,10
Ball State,37,A,Kent State,35
Boise State,28,A,Hawaii,7
Brigham Young,41,H,Arizona,19
Buffalo,30,H,Toledo,15
Cincinnati,19,A,Central Florida,13
Clemson,49,A,Wake Forest,14
Colorado State,31,H,San Jose State,24
Georgia,41,H,Mississippi State,31
Georgia Southern,24,H,Marshall,23
Georgia Tech,41,A,North Carolina,34
Illinois,50,H,Purdue,49
Iowa,40,H,Washington,16
Iowa State,28,A,West Virginia,16
Kansas State,31,A,Colorado,28
Louisiana,34,H,Appalachian State,24
Louisiana State,29,H,Mississippi,26
Louisiana-Monroe,38,H,Southern Mississippi,21
Louisville,24,A,Virginia,20
Memphis,21,N,South Florida,3
Miami OH,38,A,Eastern Michigan,14
Minnesota,21,A,UCLA,17
Missouri,45,A,Massachusetts,3
Nevada,42,H,Oregon State,37
New Mexico,52,H,Air Force,37
North Texas,41,A,Florida Atlantic,37
Northern Illinois,17,A,Bowling Green,7
Notre Dame,49,H,Stanford,7
Ohio,27,A,Central Michigan,25
Old Dominion,21,A,Georgia State,14
Oregon,32,H,Ohio State,31
Penn State,33,A,Southern California,30
Pittsburgh,17,H,California,15
Rice,29,H,Texas-San Antonio,27
San Diego State,27,A,Wyoming,24
Syracuse,24,A,North Carolina State,17
Tennessee,23,H,Florida,17
Texas,34,N,Oklahoma,3
Texas State,41,H,Arkansas State,9
Vanderbilt,20,A,Kentucky,13
Washington State,25,A,Fresno State,17
Western Michigan,34,H,Akron,24
Wisconsin,42,A,Rutgers,7
Middle Tennessee State,14,H,Kennesaw State,5
New Mexico State,33,H,Louisiana Tech,30
South Alabama,25,H,Troy,9
Texas-El Paso,30,H,Florida International,21
Western Kentucky,31,A,Sam Houston,14
Marshall,35,H,Georgia State,20
Virginia Tech,42,H,Boston College,21
Brigham Young,38,H,Oklahoma State,35
Duke,23,H,Florida State,16
Fresno State,24,A,Nevada,21
Oregon,35,A,Purdue,0
Arkansas State,44,A,Southern Mississippi,28
Army,45,H,East Carolina,28
Baylor,59,A,Texas Tech,35
Bowling Green,27,H,Kent State,6
Cincinnati,24,H,Arizona State,14
Clemson,48,H,Virginia,31
Colorado,34,A,Arizona,7
Colorado State,21,A,Air Force,13
Eastern Michigan,38,H,Central Michigan,34
Florida,48,H,Kentucky,20
Georgia,30,A,Texas,15
Georgia Southern,28,H,James Madison,14
Illinois,21,H,Michigan,7
Indiana,56,H,Nebraska,7
Iowa State,38,H,Central Florida,35
Kansas,42,H,Houston,14
Kansas State,45,A,West Virginia,18
Louisiana,34,A,Coastal Carolina,24
Louisiana State,34,A,Arkansas,10
Maryland,29,H,Southern California,28
Memphis,52,H,North Texas,44
Miami FL,52,A,Louisville,45
Miami OH,30,H,Ohio,20
Michigan State,32,H,Iowa,20
Missouri,21,H,Auburn,17
Navy,51,H,Charlotte,17
Nevada-Las Vegas,33,A,Oregon State,25
New Mexico,50,A,Utah State,45
North Carolina State,24,A,California,23
Notre Dame,31,N,Georgia Tech,13
